"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","dissection:ch1","tissue type:ch1","treatment:ch1"
"GSM1551311","Normal-01","GSM1551311","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551311/suppl/GSM1551311_Normal-01_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551312","Normal-02","GSM1551312","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551312/suppl/GSM1551312_Normal-02_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551313","Normal-03","GSM1551313","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551313/suppl/GSM1551313_Normal-03_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551314","Normal-04","GSM1551314","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551314/suppl/GSM1551314_Normal-04_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551315","Normal-05","GSM1551315","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551315/suppl/GSM1551315_Normal-05_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551316","Normal-06","GSM1551316","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551316/suppl/GSM1551316_Normal-06_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551317","Normal-07","GSM1551317","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551317/suppl/GSM1551317_Normal-07_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551318","Normal-08","GSM1551318","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551318/suppl/GSM1551318_Normal-08_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551319","Normal-09","GSM1551319","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551319/suppl/GSM1551319_Normal-09_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
"GSM1551320","Normal-10","GSM1551320","Public on Jul 01 2015","Nov 20 2014","Feb 26 2020","RNA","1","cervix","Homo sapiens","tissue type: normal cervical epithelium","treatment: flash-frozen biopsy, cryosectioned","dissection: laser-captured","N/A","N/A","total RNA","Trizol extraction of total RNA was performed according to the manufacturer's instructions","biotin","total RNA was converted to cDNA usingT7 promoter-linked oligo-d(T), transcribed using T7 RNA polymerase, converted again to cDNA for a second round of amplification using T7 RNA polymerase in the presence of biotinylated ribonucleotides","9606","At UW-Madison Biotech Center core facilties, according to Affymetrix instructions using Affymetrix Array hybridization stations","Gene Array Scanner at UW-Madison Biotech Center core facilties","gene expression data from epithelium","GC-RMA","GPL570","Johan,,den Boon","jdenboon@morgridge.org","Virology","Morgridge Institute for Research","330 North Orchard Street","Madison","WI","53715","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1551nnn/GSM1551320/suppl/GSM1551320_Normal-10_U133_Plus2.CEL.gz","54675","Reanalyzed by: GSE145976","laser-captured","normal cervical epithelium","flash-frozen biopsy, cryosectioned"
