"","N1","N2","N3","T1","T2","T3"
"TSPAN6",1616.16631592141,5.32329562995493,0,2892.3669849267,5050.6964003766,1935.65286809536
"DPM1",534.332599310701,373.409669908658,2.43844713048882,1344.56193454964,3887.37321017567,3857.84693661153
"SCYL3",134.558072724544,141.880573694478,2.31230258571223,306.111647045645,320.527192679229,269.313081945711
"C1orf112",68.4489394094121,47.2648625095774,17.2607952858555,117.662449283167,207.586393696816,72.5280677801922
"FGR",40.1300573738773,3177.32607524032,62.9274937100894,10.9845070938092,192.898587979112,109.537690544777
"CFH",801.433547563535,8.16907807819554,5.18863929513736,1304.66134500232,13678.3376975395,2457.6236948448
"FUCA2",246.332400977239,104.995451081761,5.65337508517583,1192.91175653436,3405.12556981307,1728.34829662522
"GCLC",374.820610633132,77.9470804416802,6.81759405372565,4565.35564474679,1549.19203155912,3010.92600135338
"NFYA",128.753955786083,215.173088937447,0,526.524215455244,783.732183861057,664.809641618582
"STPG1",105.256417208544,27.3596209434663,3.4587161626143,253.406387393379,370.847197320022,179.814251546475
"NIPAL3",278.644517238075,53.7733940637254,9.40994857873236,354.952988573417,716.959297916587,508.361027084486
"LAS1L",62.5900787681326,26.7864888196909,7.59869574120055,650.934199231839,1352.45187203306,598.325937033536
"ENPP4",215.823239336677,28.328027874797,9.29968825146944,148.172847177165,441.18120541331,467.139387720144
"SEMA3F",181.327752870199,154.81230452422,0.29003451077541,1912.87779945387,2664.15710245942,2900.59289605797
"CFTR",64.6939908808477,120.940163314735,1.33482676567102,4.77700692127952,0,0
"ANKIB1",364.773768144144,111.39785674465,6.61008213385924,400.42420919508,795.608293044717,628.70283604878
"CYP51A1",569.402318873498,29.6216129067022,0,612.663486343673,1610.68490613838,2202.7580409042
"KRIT1",247.17893527496,117.267932844543,10.6415844356861,611.301860061369,793.206961954227,604.336806167492
"RAD52",146.24625189563,66.7169602516424,3.4414381521014,195.056517302756,131.87063818057,72.7906224664565
"MYH16",17.2352310196094,23.9812473773534,0.419920950270641,0,0.464024461622202,0
"BAD",320.151272439403,422.464875549892,10.9478547513984,1545.16367131592,2256.40366466481,1910.28893663897
"LAP3",299.125305745696,469.554757846894,4.98615005274562,898.980090024906,2287.65698160499,951.337702179075
"CD99",108.252527662351,129.598675956131,15.3513616603874,586.856867829738,1904.73335410264,1365.56989852576
"HS3ST1",171.016758727801,183.08710598159,0,226.173936929586,524.909800876078,234.993087656706
"AOC1",39.8109848535624,116.959951977118,0,0.987444072208963,5.08959387659385,1.18101166994903
"WNT16",16.7529903753577,33.8869844487436,1.48142616446325,0,9.49404492180529,7.59526279289733
"HECW1",71.8611640120748,227.505466767015,0,0,5.80543758911968,0.387603794877799
"MAD1L1",414.35424510882,841.029837109342,6.30898517594584,282.843633415387,397.482597557538,254.271065151884
"LASP1",652.348108303975,1873.716494961,136.50197123415,3256.39485066899,6202.08198959967,3002.31366786359
"SNX11",79.0250153166745,487.626368949238,50.9839684894978,243.903121590164,496.537865167904,198.573486308855
"TMEM176A",32.0872950346955,199.54525043771,3.99444749875738,32.4746853368641,5.8267751516739,19.2823372593413
"M6PR",802.79186461698,315.772717982366,59.3012461403071,1578.98817931705,5198.83076281896,1857.59634254598
"KLHL13",57.1946350868829,42.4405481958267,0,0,6.06671019052201,251.427184068059
"CYP26B1",110.422211942288,526.03929898603,0.983641156641377,9.61573849485717,0,1.880234798577
"ICA1",306.630197917374,201.778471364499,0,1494.37864229015,1442.84246867204,1212.45664198162
"DBNDD1",130.004291328628,221.055392727831,20.2960495105796,347.286501065325,256.518646484399,262.23856876118
"ALS2",212.088487514007,156.476970537577,4.0690217025627,204.367993108392,415.750162029329,77.5465023449036
"CASP10",277.260954302262,319.563302034307,11.3009615345621,59.9294498041231,246.119600808184,97.9761496051873
"CFLAR",1045.27750177767,9531.05539472693,123.095930229787,318.954584931364,502.650671696096,464.713559577733
"TFPI",172.32405252425,27.3116910122938,1.09363779333687,34.6191095238304,888.773673134842,1553.41573529447
"NDUFAF7",90.470435397832,63.0557804749957,9.22557864533053,389.261971190147,520.452050940436,335.736026642898
"RBM5",480.844015464427,1502.30399270282,12.5527132148019,1238.64611513781,1298.49331780127,656.470935231974
"MTMR7",17.758440858932,106.636446378768,0,12.4330440923816,18.6661357351975,44.2543051566879
"SLC7A2",175.05503692217,32.1694189615549,0.161240503630922,7.40500353648162,102.919707262327,12.873622344854
"ARF5",303.270413884402,784.467548783079,92.5464362420714,6073.3369418672,7230.30707772786,6505.28382910427
"SARM1",88.4167493037229,125.106667113348,7.72497840960769,67.0198906789539,293.851098018613,76.452893566033
"POLDIP2",170.420202956546,179.689769686909,15.8363011705678,1727.20794023726,3161.326091313,1627.59525405858
"PLXND1",130.964875007222,552.55579778415,37.2375908594507,506.062079715873,40.7365580328433,175.307847061803
"AK2",275.023416177083,141.609145121085,12.1441686290114,1336.70207821608,2611.4420689618,1045.09526093696
"CD38",23.780646788235,104.908680251385,3.40310256627591,1.93195906224712,1.83413006056801,0.854652181171365
"FKBP4",241.73237975467,217.324312410361,5.96853554001833,1175.9489800413,1833.701238583,1250.10161386971
"KDM1A",330.420810185491,221.641144874411,33.1502740541865,1395.02834107063,3236.33986803078,1407.12377960037
"RBM6",301.39712512167,187.116162692447,8.47064510749872,1201.44471982533,1441.17588799508,919.670935795018
"CAMKK1",75.3822559460719,427.497779877886,2.81473357019818,93.6123143887714,69.9804527846359,103.347448256684
"RECQL",136.612378892957,74.3824144145706,10.2817095946252,175.714146449291,720.638451898774,310.031687568763
"VPS50",245.244967812501,50.8316863644205,30.2311441326771,254.589982035437,403.946078373278,370.349024764704
"HSPB6",73.5513536911055,274.92883153193,1.10467512708748,2.07653458766648,2.78270625918103,18.3659563538294
"ARHGAP33",115.107626254691,508.354331380306,6.60942918578753,52.1863515521912,47.5506231042202,52.3602831801151
"NDUFAB1",150.205426325246,133.133328561129,0,1538.88783045041,2368.42118641518,1390.79957692697
"PDK4",104.00816334402,86.7761268627468,0.26035048690005,4.39493057173133,125.879554794037,90.9621194980923
"SLC22A16",14.9719598108236,84.9626361244939,5.41081743322984,0.306894069038905,0.0854402821264008,0.250721040678855
"ZMYND10",51.6934244458176,196.538023241768,0,0,12.9764791817096,0.537911854594739
"ABCB5",25.1304156744922,9.92862312310965,0,0,0,0
"ARX",37.3006583257433,202.25567823721,0,13.8091805548236,0,0
"SLC25A13",263.885597241621,566.565853982195,7.94066473706415,410.598251304999,955.885259122894,528.171449428404
"ST7",89.9236184439442,30.3849608146262,15.0354478039237,566.345638061195,564.688419391719,418.709051318697
"CDC27",360.898170872473,204.059033723987,109.406710669402,443.674319703657,777.386464782959,459.07174794031
"SLC4A1",43.4274796482978,108.097818864137,2191.73662835321,0.512968699914858,0,0
"CALCR",15.5188653467549,51.711426192518,0,1.07458033531923,0,0
"HCCS",133.724249950051,77.9343950301557,5.88572414515454,537.605933237752,1268.53673045379,476.82865216082
"DVL2",371.95214690386,621.855285500539,20.4350018829166,1123.44092351081,2003.66815901808,921.179552600648
"PRSS22",457.588615902513,232.011141852111,2.57222614502693,102.069869852383,897.913442492719,130.78005320714
