"histo_major","age_group","stage","dead","person_month"
"Squamous cell carcinoma",1,1,383,174555
"Squamous cell carcinoma",1,2,1566,238540
"Squamous cell carcinoma",1,3,29,2403
"Squamous cell carcinoma",1,4,1537,49637
"Squamous cell carcinoma",2,1,326,422594
"Squamous cell carcinoma",2,2,1675,285296
"Squamous cell carcinoma",2,3,19,1906
"Squamous cell carcinoma",2,4,1137,41232
"Squamous cell carcinoma",3,1,159,20319
"Squamous cell carcinoma",3,2,375,23411
"Squamous cell carcinoma",3,3,15,155
"Squamous cell carcinoma",3,4,307,6043
"Squamous cell carcinoma",4,1,5,22557
"Squamous cell carcinoma",4,2,35,5007
"Squamous cell carcinoma",4,4,23,431
"Adenocarcinoma",1,1,72,53768
"Adenocarcinoma",1,2,398,41863
"Adenocarcinoma",1,3,14,1595
"Adenocarcinoma",1,4,480,14530
"Adenocarcinoma",2,1,90,169282
"Adenocarcinoma",2,2,304,52946
"Adenocarcinoma",2,3,7,1300
"Adenocarcinoma",2,4,237,11471
"Adenocarcinoma",3,1,49,3713
"Adenocarcinoma",3,2,85,4823
"Adenocarcinoma",3,3,2,44
"Adenocarcinoma",3,4,96,1469
"Adenocarcinoma",4,1,3,4536
"Adenocarcinoma",4,2,6,1080
"Adenocarcinoma",4,4,4,426
"Adenosquamous carcinoma",1,1,14,6162
"Adenosquamous carcinoma",1,2,86,8984
"Adenosquamous carcinoma",1,3,4,201
"Adenosquamous carcinoma",1,4,94,2865
"Adenosquamous carcinoma",2,1,16,14020
"Adenosquamous carcinoma",2,2,101,18056
"Adenosquamous carcinoma",2,3,2,26
"Adenosquamous carcinoma",2,4,71,3470
"Adenosquamous carcinoma",3,1,2,840
"Adenosquamous carcinoma",3,2,14,586
"Adenosquamous carcinoma",3,4,11,340
"Adenosquamous carcinoma",4,1,0,409
"Adenosquamous carcinoma",4,2,6,765
"Adenosquamous carcinoma",4,4,3,63
"Others",1,1,63,16932
"Others",1,2,190,16673
"Others",1,3,8,690
"Others",1,4,476,10055
"Others",2,1,30,30082
"Others",2,2,160,17298
"Others",2,3,5,254
"Others",2,4,215,5850
"Others",3,1,37,3309
"Others",3,2,58,2374
"Others",3,3,6,89
"Others",3,4,110,1034
"Others",4,1,1,3242
"Others",4,2,2,547
"Others",4,3,0,238
"Others",4,4,5,535
