"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"1","1007_s_at","DDR1","780","discoidin domain receptor tyrosine kinase 1"
"2","1053_at","RFC2","5982","replication factor C subunit 2"
"3","117_at","HSPA6","3310","heat shock protein family A (Hsp70) member 6"
"4","121_at","PAX8","7849","paired box 8"
"5","1255_g_at","GUCA1A","2978","guanylate cyclase activator 1A"
"6","1294_at","UBA7","7318","ubiquitin like modifier activating enzyme 7"
"7","1316_at","THRA","7067","thyroid hormone receptor alpha"
"8","1320_at","PTPN21","11099","protein tyrosine phosphatase non-receptor type 21"
"9","1405_i_at","CCL5","6352","C-C motif chemokine ligand 5"
"10","1431_at","CYP2E1","1571","cytochrome P450 family 2 subfamily E member 1"
"11","1438_at","EPHB3","2049","EPH receptor B3"
"12","1487_at","ESRRA","2101","estrogen related receptor alpha"
"13","1494_f_at","CYP2A6","1548","cytochrome P450 family 2 subfamily A member 6"
"14","1552256_a_at","SCARB1","949","scavenger receptor class B member 1"
"15","1552257_a_at","TTLL12","23170","tubulin tyrosine ligase like 12"
"16","1552258_at","NA","NA","NA"
"17","1552261_at","WFDC2","10406","WAP four-disulfide core domain 2"
"18","1552263_at","MAPK1","5594","mitogen-activated protein kinase 1"
"19","1552264_a_at","MAPK1","5594","mitogen-activated protein kinase 1"
"20","1552266_at","ADAM32","203102","ADAM metallopeptidase domain 32"
"21","1552269_at","SPATA17","128153","spermatogenesis associated 17"
"22","1552271_at","PRR22","163154","proline rich 22"
"23","1552272_a_at","PRR22","163154","proline rich 22"
"24","1552274_at","PXK","54899","PX domain containing serine/threonine kinase like"
"25","1552275_s_at","PXK","54899","PX domain containing serine/threonine kinase like"
"26","1552276_a_at","VPS18","57617","VPS18 core subunit of CORVET and HOPS complexes"
"27","1552277_a_at","MSANTD3","91283","Myb/SANT DNA binding domain containing 3"
"28","1552278_a_at","SLC46A1","113235","solute carrier family 46 member 1"
"29","1552279_a_at","SLC46A1","113235","solute carrier family 46 member 1"
"30","1552280_at","TIMD4","91937","T cell immunoglobulin and mucin domain containing 4"
"31","1552281_at","SLC39A5","283375","solute carrier family 39 member 5"
"32","1552283_s_at","ZDHHC11, ZDHHC11B","79844, 653082","zinc finger DHHC-type containing 11, zinc finger DHHC-type containing 11B"
"33","1552286_at","ATP6V1E2","90423","ATPase H+ transporting V1 subunit E2"
"34","1552287_s_at","AFG3L1P","172","AFG3 like matrix AAA peptidase subunit 1, pseudogene"
"35","1552288_at","CILP2","148113","cartilage intermediate layer protein 2"
"36","1552289_a_at","CILP2","148113","cartilage intermediate layer protein 2"
"37","1552291_at","PIGX","54965","phosphatidylinositol glycan anchor biosynthesis class X"
"38","1552293_at","TMEM196","256130","transmembrane protein 196"
"39","1552295_a_at","SLC39A13","91252","solute carrier family 39 member 13"
"40","1552296_at","BEST4","266675","bestrophin 4"
"41","1552299_at","AK9","221264","adenylate kinase 9"
"42","1552301_a_at","CORO6","84940","coronin 6"
"43","1552302_at","TMEM106A","113277","transmembrane protein 106A"
"44","1552303_a_at","TMEM106A","113277","transmembrane protein 106A"
"45","1552304_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase"
"46","1552306_at","ALG10","84920","ALG10 alpha-1,2-glucosyltransferase"
"47","1552307_a_at","TTC39C","125488","tetratricopeptide repeat domain 39C"
"48","1552309_a_at","NEXN","91624","nexilin F-actin binding protein"
"49","1552310_at","C15orf40","123207","chromosome 15 open reading frame 40"
"50","1552311_a_at","RAX2","84839","retina and anterior neural fold homeobox 2"
"51","1552312_a_at","MFAP3","4238","microfibril associated protein 3"
"52","1552314_a_at","EYA3","2140","EYA transcriptional coactivator and phosphatase 3"
"53","1552315_at","GIMAP1","170575","GTPase, IMAP family member 1"
"54","1552316_a_at","GIMAP1","170575","GTPase, IMAP family member 1"
"55","1552318_at","GIMAP1","170575","GTPase, IMAP family member 1"
"56","1552319_a_at","KLK8","11202","kallikrein related peptidase 8"
"57","1552320_a_at","CCDC65","85478","coiled-coil domain containing 65"
"58","1552321_a_at","CCDC65","85478","coiled-coil domain containing 65"
"59","1552322_at","PABIR3","159091","PABIR family member 3"
"60","1552323_s_at","PABIR3","159091","PABIR family member 3"
"61","1552325_at","CFAP53","220136","cilia and flagella associated protein 53"
"62","1552326_a_at","CFAP53","220136","cilia and flagella associated protein 53"
"63","1552327_at","ARMCX4","100131755","armadillo repeat containing X-linked 4"
"64","1552329_at","RBBP6","5930","RB binding protein 6, ubiquitin ligase"
"65","1552330_at","CENPBD1P","92806","CENPB DNA-binding domain containing 1, pseudogene"
"66","1552332_at","TRIOBP","11078","TRIO and F-actin binding protein"
"67","1552334_at","TRIOBP","11078","TRIO and F-actin binding protein"
"68","1552335_at","CATSPER1","117144","cation channel sperm associated 1"
"69","1552337_s_at","HOXD4","3233","homeobox D4"
"70","1552338_at","GSC","145258","goosecoid homeobox"
"71","1552340_at","SP7","121340","Sp7 transcription factor"
"72","1552343_s_at","PDE7A","5150","phosphodiesterase 7A"
"73","1552344_s_at","CNOT7","29883","CCR4-NOT transcription complex subunit 7"
"74","1552347_at","CRYZL1","9946","crystallin zeta like 1"
"75","1552348_at","PRSS33","260429","serine protease 33"
"76","1552349_a_at","PRSS33","260429","serine protease 33"
